Índice,ValorOriginal,ValorRecebido,Bytes,Erro,CRC_esperado,CRC_recebido,Resultado
0,0,0,00 00 00 00,nenhum,00,00,OK
1,1,1,00 00 00 01,nenhum,07,07,OK
2,1,1,00 00 00 01,nenhum,07,07,OK
3,2,34,00 00 00 22,isolado,EE,0E,ERRO
4,3,3,00 00 00 03,nenhum,09,09,OK
5,5,5,00 00 00 05,nenhum,1B,1B,OK
6,8,8,00 00 00 08,nenhum,38,38,OK
7,13,12583693,00 C0 03 0D,rajada,91,23,ERRO
8,21,21,00 00 00 15,nenhum,6B,6B,OK
9,34,34,00 00 00 22,nenhum,EE,EE,OK
10,55,55,00 00 00 37,nenhum,85,85,OK
11,89,89,00 00 00 59,nenhum,88,88,OK
12,144,148,00 00 00 94,isolado,E5,F9,ERRO
13,233,233,00 00 00 E9,nenhum,91,91,OK
14,377,377,00 00 01 79,nenhum,7D,7D,OK
15,610,610,00 00 02 62,nenhum,03,03,OK
16,987,987,00 00 03 DB,nenhum,30,30,OK
17,1597,1597,00 00 06 3D,nenhum,CD,CD,OK
18,2584,503319064,1E 00 0A 18,rajada,69,CA,ERRO
19,4181,4181,00 00 10 55,nenhum,FB,FB,OK
